course_id,guidebook_file_name,guidebook_url_prefix,transcript_file_name,transcript_url_prefix
296,DG296_CD9C78.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/296/
297,DG297_DDBC04.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/297/
301,DG301_CE1790.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/301/
302,DG302_3CBE86.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/302/
303,DG303_DC2132.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/303/
304,DG304_98F0AB.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/304/
305,DG305_D87E6E.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/305/
323,DG323_9BC721.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/323/
327,DG327_5D68AE.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT327_AlexanderGreatHellinisticAge.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/327/
337,DG337_4A19AB.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/337/
340,DG340_02E4E2.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/340/
349,DG349_EAFD52.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT349_FamousRomans.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/349/
350,DG350_0FBF39.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/350/
363,DG363_014C35.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT363_GreatAncientCivilizationsAsiaMinor.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/363/
367,DG367_9D7C19.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/367/
370,DG370_992112.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/370/
380,DG380_A1DA4E.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT380_HumanPrehistoryFirstCivilizations.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/380/
