SearchExpression,StartDate,EndDate,RedirectValue
/6wks,12/2/13,12/27/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77642&cid=1050&pid=wks
/6wm,12/4/13,1/14/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77908&cid=297&pid=wm
/7ag,10/22/13,1/1/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78471&cid=8210&pid=ag
/7disc,10/29/13,1/11/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77457&cid=1231&pid=disc
/7dscy,10/29/13,1/11/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77459&cid=1014&pid=disc
/7harp,10/7/13,12/21/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77980&cid=1712&pid=harp
/7hev,11/25/13,12/20/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78297&cid=3300&pid=hev
/7kp,10/26/13,1/4/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=86545&cid=5724&pid=kp
/7natr,11/8/13,1/28/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77850&cid=1434&pid=natr
/7nyrob,11/19/13,2/4/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77936&cid=237&pid=nyrob
/7nyt,11/11/13,12/14/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77077&cid=7901&pid=nyt
/7pro,11/21/13,1/31/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78511&cid=9123&pid=pro
/7spec,11/21/13,1/31/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78241&cid=1452&pid=spec
/7st,10/8/13,12/24/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77549&cid=9313&pid=st
/7week,12/10/13,1/10/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77533&cid=6220&pid=week
/7win,10/29/13,1/11/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77461&cid=1110&pid=disc
/8acw,10/15/13,12/25/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78481&cid=8557&pid=acw
/8bar,10/1/13,1/14/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78417&cid=6220&pid=bar
/8csm,11/20/13,12/17/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77798&cid=1231&pid=csm
/8harp,11/11/13,1/25/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77982&cid=2031&pid=harp
/8kp,11/23/13,2/1/14,http://www.thegreatcourses.com/tgc/courses/CourseBuffet_SpecialOffer.aspx?lid=5tgc&ai=86547&cid=1474&pid=kp
/8mth,10/22/13,1/1/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78461&cid=3757&pid=mth
/8nyt,11/18/13,12/21/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77079&cid=2154&pid=nyt
/8ps,9/15/13,12/14/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77944&cid=1401&pid=ps
/8sas,11/1/13,1/31/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78311&cid=1001&pid=sas
/8sn,10/4/13,12/19/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77685&cid=1007&pid=sn
/8st,11/7/13,1/24/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77551&cid=7820&pid=st
/8week,11/12/13,12/13/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77529&cid=2133&pid=week
/8wt,11/18/13,12/13/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78117&cid=1540&pid=wt
/8yi,11/9/13,1/29/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78517&cid=1933&pid=yi
/8yj,11/4/13,1/21/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78319&cid=1933&pid=yj
/9csm,11/27/13,12/24/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77800&cid=1373&pid=csm
/9econ,11/29/13,12/17/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77177&cid=177&pid=econ
/9fa,10/17/13,1/28/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78407&cid=3092&pid=fa
/9harp,11/11/13,1/25/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77984&cid=1240&pid=harp
/9hev,12/9/13,1/3/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78299&cid=1950&pid=hev
/9mind,10/12/13,1/1/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77862&cid=1642&pid=mind
/9ntn,11/9/13,12/13/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78193&cid=1933&pid=ntn
/9nyt,11/25/13,12/28/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77081&cid=8280&pid=nyt
/9rs,10/10/13,12/24/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78447&cid=9313&pid=rs
/9sa,11/12/13,1/25/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77481&cid=177&pid=sa
/9su,10/20/13,1/12/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78429&cid=9331&pid=su
