CouponID,CouponDescription,CouponFromDate,CouponToDate,CouponCode,CouponCurrency,ReqAmount,ReqQuantity,ReqCourseParts,ReqPriceGT,ReqCourseType,ReqSaleStatus,ReqCourseID,ReqFormat,ReqCategory,GetAmount,GetQuantity,GetCourseParts,GetPriceGT,GetCourseType,GetSaleStatus,GetCourseID,GetFormat,GetCategory,GetPercentOff,GetShippingAmount,GetSpecialShipping,GetShippingType
Expected Records,82,,,,,,,,,,,,,,,,,,,,,,,,,,
CPN-002027,20% Off $100,1/29/14,9/30/14,E9F4,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002028,20% Off $100,1/29/14,9/30/14,F8D7,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002029,20% Off $100,1/29/14,9/30/14,FXM7,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002030,20% Off $100,1/29/14,9/30/14,HR9P,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002031,20% Off $100,1/29/14,9/30/14,K96P,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002032,20% Off $100,1/29/14,9/30/14,MYU8,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002033,20% Off $100,1/29/14,9/30/14,PFUF,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002034,20% Off $100,1/29/14,9/30/14,PVDA,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002035,20% Off $100,1/29/14,9/30/14,PX78,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002036,20% Off $100,1/29/14,9/30/14,R8DA,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002037,20% Off $100,1/29/14,9/30/14,WHBK,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002038,20% Off $100,1/29/14,9/30/14,XKMW,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002039,20% Off $100,1/29/14,9/30/14,XM6K,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002040,20% Off $100,1/29/14,9/30/14,Y9BW,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002041,20% Off $100,1/29/14,9/30/14,YD76,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002042,20% Off $100,1/29/14,9/30/14,YXM9,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002043,20% Off $100,1/29/14,9/30/14,AVBA,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002044,20% Off $100,1/29/14,9/30/14,B7UY,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002045,20% Off $100,1/29/14,9/30/14,B8Y7,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002046,20% Off $100,1/29/14,9/30/14,K84P,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002047,20% Off $100,1/29/14,9/30/14,M8K7,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002048,20% Off $100,1/29/14,9/30/14,M8X6,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002049,20% Off $100,1/29/14,9/30/14,RD9F,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002050,20% Off $100,1/29/14,9/30/14,VK6W,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002051,20% Off $100,1/29/14,9/30/14,WA9Y,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002052,20% Off $100,1/29/14,9/30/14,XHP4,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002053,20% Off $100,1/29/14,9/30/14,XVH8,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002054,20% Off $100,1/29/14,9/30/14,XW9H,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002055,$10 Off Select Course,1/29/14,3/7/14,VMW3,USD,10,1,0,0,0,0,301|8561,,,0,0,0,0,0,0,,,,0,0,0,
CPN-002056,$15 Off Select Course,1/29/14,3/7/14,KF6W,USD,15,1,0,0,0,0,1299|1434|1564|1674|2044|2353|3742|4278|5913|6252|6362|8267|9438,,,0,0,0,0,0,0,,,,0,0,0,
CPN-002057,$20 Off Select Course,1/29/14,3/7/14,D8B7,USD,20,1,0,0,0,0,1440|1600|1750|3850|4320|4790|6220|720|730|810|8490,,,0,0,0,0,0,0,,,,0,0,0,
CPN-001954,$20 off $100,2/3/14,3/13/14,NQ5HX,USD,99,0,0,0,0,0,,,,20,0,0,0,0,0,,,,0,0,0,
CPN-001832,20% Off $100,2/3/14,3/13/14,WP5HX,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-002269,15% Off $75,2/3/14,2/24/14,Y7MA,USD,74,0,0,0,0,0,,,,0,0,0,0,0,0,,,,15,0,0,
