accountnum,mergeto_account
Expected Records,65708
050316620,50316620
050316621,50316621
050316622,50316622
050316623,50316623
050316624,50316624
050316625,50316625
050316626,50316626
050316627,50316627
050316628,50316628
050316629,50316629
050316630,50316630
050316631,50316631
050316632,50316632
050316633,50316633
050316634,50316634
050316635,50316635
050316636,50316636
050316637,50316637
050316638,50316638
050316639,50316639
050316640,50316640
050316641,50316641
050316642,50316642
050316643,50316643
050316644,50316644
050316645,50316645
050316647,50316647
050316648,50316648
050316650,50316650
050316651,50316651
050316652,50316652
050316653,50316653
050316654,50316654
050316655,50316655
050316656,50316656
050316657,50316657
050316658,50316658
050316659,50316659
050316660,50316660
050316661,50316661
050316662,50316662
050316663,50316663
050316664,50316664
050316665,50316665
050316666,50316666
050316668,50316668
050316669,50316669
050316670,50316670
050316671,50316671
050316672,50316672
050316673,50316673
050316674,50316674
050316675,50316675
050316676,50316676
050316677,50316677
050316678,50316678
050316679,50316679
050316680,50316680
050316681,50316681
050316682,50316682
050316685,50316685
050316686,50316686
050316687,50316687
050316688,50316688
050316689,50316689
050316690,50316690
050316691,50316691
050316692,50316692
050316693,50316693
050316694,50316694
050316695,50316695
050316696,50316696
050316697,50316697
050316698,50316698
050316699,50316699
050316700,50316700
050316701,50316701
050316702,50316702
050316703,50316703
050316704,50316704
050316705,50316705
050316706,50316706
050316707,50316707
050316708,50316708
050316709,50316709
050316710,50316710
050316711,50316711
050316712,50316712
050316713,50316713
050316714,50316714
050316715,50316715
050316716,50316716
050316717,50316717
050316718,50316718
050316719,50316719
050316720,50309702
050316720,50316720
050316721,50316721
050316723,50316723
050316724,50316724
050316725,41841939
050316725,50316725
050316726,50316726
050316727,50316727
050316728,50316728
050316729,50316729
050316730,50316730
050316731,50316731
050316732,50316732
050316733,50316733
050316734,50316734
050316735,50316735
050316736,50316736
050316737,50316737
050316738,50316738
050316739,40850217
050316739,50316739
050316740,50316740
050316741,50316741
050316742,50316742
050316743,50316743
050316744,50316744
050316745,50316745
050316746,50316746
050316747,50316747
050316747,41752916
050316748,50316748
050316749,50316749
050316750,50316750
050316751,50316751
050316752,50316752
050316753,50316753
050316754,50316754
050316755,50316755
050316756,50316756
050316757,50316757
050316759,50316759
050316760,50316760
050316761,50316761
050316762,50316762
050316763,50316763
050316764,50316764
050316765,50316765
050316766,50316766
050316767,50316767
050316768,50316768
050316769,50316769
050316769,41144315
050316770,50316770
050316771,50316771
050316772,50316772
050316773,50316773
050316774,50316774
050316775,50316775
050316776,50316776
050316777,50316777
050316778,50316778
050316779,50316779
050316780,50316780
050316781,50316781
050316782,50316782
050316783,50316783
050316784,50316784
050316785,50316785
050316786,50316786
050316787,50316787
050316788,50316788
050316789,50316789
050316790,50316790
050316791,50316791
050316792,50316792
050316793,50316793
050316794,50316794
050316795,50316795
050316796,50316796
050316797,50316797
050316798,50316798
050316799,50316799
050316800,50316800
050316801,50316801
050316802,50316802
050316803,50316803
050316804,50316804
050316805,50316805
050316806,50316806
050316807,50316807
050316808,50316808
050316809,50316809
050316810,50316810
050316811,50316811
050316812,50316812
050316813,50316813
050316814,50316814
050316815,50316815
050316816,50316816
050316817,50316817
050316818,50316818
050316819,50316819
050316820,50316820
050316821,40045664
050316821,50316821
050316822,50316822
050316823,50316823
050316824,50316824
050316825,50316825
050316826,50316826
050316828,50316828
050316829,50316829
050316830,50316830
050316831,50316831
050316834,50316834
050316836,50316836
050316837,50316837
050316838,50316838
050316839,50316839
050316840,50316840
050316841,50316841
050316842,50316842
050316843,50316843
050316844,50316844
050316845,50316845
050316846,50316846
050316847,50316847
050316848,50316848
050316849,42144021
050316849,50316849
050316850,50316850
050316851,50316851
050316852,50316852
050316853,50316853
050316854,50316854
050316855,50316855
050316856,50316856
050316857,50316857
050316858,50316858
050316859,50316859
050316860,50316860
050316861,50316861
050316862,50316862
050316863,50316863
050316864,50316864
050316865,50316865
050316866,50316866
050316867,50316867
050316868,50316868
050316869,50316869
050316870,50316870
050316871,50316871
050316872,50316872
050316873,50316873
050316874,50316874
050316875,50316875
050316875,41011467
050316876,50316876
050316877,50316877
050316878,50316878
050316879,50316879
