catalogcode,name,description,start_date,stop_date,apply_special_shipping,special_shipping_price,currency,allow_coupons
39010,AU New Year (BE) Web Only Courses,AU New Year (BE) Web Only Courses,12/20/2013,01/23/2014,0,0,AUD,1
39013,AU New Year (BE) Web Only Sets,AU New Year (BE) Web Only Sets,12/20/2013,01/23/2014,0,0,AUD,1
41892,2014 AU Jan TPI TAIL URL,2014 AU Jan TPI TAIL URL,03/01/2014,03/31/2014,0,0,AUD,1
42119,2014 AU Jan (AE) Web Only Sets,2014 AU Jan (AE) Web Only Sets,01/09/2014,02/13/2014,0,0,AUD,1
42177,2014 AU OSW1 TAIL URL,2014 AU OSW1 TAIL URL,02/18/2014,03/20/2014,0,0,AUD,1
42254,AUJanCatDLREmail20140120M27109 Active Control,AUJanCatDLREmail20140120M27109 Active Control,01/14/2014,01/24/2014,0,0,AUD,1
42316,AUDayEmail20140124 Active Control,AUDayEmail20140124 Active Control,01/22/2014,01/27/2014,0,0,AUD,1
42340,AUAERotSetsEmail20140203 Active Control,AUAERotSetsEmail20140203 Active Control,01/24/2014,02/06/2014,0,0,AUD,1
42521,AUJanCatDLREmail20140210M36884 Active Control,AUJanCatDLREmail20140210M36884 Active Control,02/03/2014,02/13/2014,0,0,AUD,1
42607,AU Feb 2014 (BE) Web Only Courses,AU Feb 2014 (BE) Web Only Courses,02/06/2014,03/06/2014,0,0,AUD,1
42619,2014 AU Feb (AB) Web Only Sets,2014 AU Feb (AB) Web Only Sets,02/06/2014,03/13/2014,0,0,AUD,1
42668,AkamaiFirstEmail20140218 AU,AkamaiFirstEmail20140218 AU,02/11/2014,02/28/2014,0,0,AUD,1
42671,AkamaiSecondEmail20140224 AU,AkamaiSecondEmail20140224 AU,02/11/2014,02/28/2014,0,0,AUD,1
61,Austrailia Full Price Catalog,Austrailia Full Price Catalog,01/01/1990,12/31/2100,0,0,AUD,1
62,Austrailia Sale Price Catalog,Austrailia Sale Price Catalog,01/01/1990,12/31/2100,0,0,AUD,1
64,Austrailia Reduced Catalog,Austrailia Reduced Catalog,01/01/1990,12/31/2100,0,0,AUD,1
65,Austrailia LowLow Catalog,Austrailia LowLow Catalog,01/01/1990,12/31/2100,0,0,AUD,1
11519,UK House Website Default,UK House Website Default,10/05/2009,12/31/2021,0,0,GBP,1
11633,UK Web Lost Code,UK Web Lost Code,10/05/2009,12/31/2099,0,0,GBP,1
14180,Replacements--UK,Replacements--UK,09/16/2010,01/01/2034,0,0,GBP,1
16160,Google Brand UK- Great Courses,Google Brand UK- Great Courses,02/14/2011,02/14/2051,0,0,GBP,1
16161,Google Brand UK - The Teaching Company,Google Brand UK - The Teaching Company,02/14/2011,02/14/2051,0,0,GBP,1
16162,Google Brand UK - Teach 12,Google Brand UK - Teach 12,02/14/2011,02/14/2051,0,0,GBP,1
20509,FinDimID - UK Revenue Generating Emails,FinDimID - UK Revenue Generating Emails,03/16/2011,03/16/2020,0,0,GBP,1
20510,FinDimID - UK NON Revenue Generating Emails,FinDimID - UK NON Revenue Generating Emails,03/16/2011,03/16/2020,0,0,GBP,1
21180,FinDimID - UK Web-Only,FinDimID - UK Web-Only,03/16/2011,03/16/2020,0,0,GBP,1
27076,UK Dec Cat (Rot.CM),UK Dec Cat (Rot.CM),11/21/2013,12/27/2013,0,0,GBP,1
27077,UK New Year Catalog (Rot.BM),UK New Year Catalog (Rot.BM),12/20/2013,01/23/2014,0,0,GBP,1
27089,UK Dec Ship (Rot.CM) ST: 11/19/2013 ED: 12/17/2013,UK Dec Ship (Rot.CM) ST: 11/19/2013 ED: 12/17/2013,11/21/2013,12/27/2013,0,0,GBP,1
27090,UK New Year Ship (Rot.BM) ST: 12/18/2013 ED: 01/13,UK New Year Ship (Rot.BM) ST: 12/18/2013 ED: 01/13/2014,12/20/2013,01/23/2014,0,0,GBP,1
30986,UK OSW Defaults 2013 www.shopgreatcourses.co.uk,UK OSW Defaults 2013 www.shopgreatcourses.co.uk,01/01/2013,12/31/2013,1,2.99,GBP,1
31611,2013 Q4 UK Call Center Download Upsell,2013 Q4 UK Call Center Download Upsell,10/01/2013,12/31/2013,1,0,GBP,1
32161,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32162,Qumin.Bing.UK - Brand,Qumin.Bing.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32163,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32164,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32165,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32166,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32167,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32168,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32169,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32170,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32171,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32172,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32173,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32174,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32175,Qumin.G.B.UK - Brand,Qumin.G.B.UK - Brand,02/26/2013,12/31/2099,0,0,GBP,1
32274,Qumin.G.NB CT 1005 Mathematics Describing the Real,Qumin.G.NB CT 1005 Mathematics Describing the Real World,02/26/2013,12/31/2099,0,0,GBP,1
32275,Qumin.G.NB CT 1190 Trails of Evidence,Qumin.G.NB CT 1190 Trails of Evidence,02/26/2013,12/31/2099,0,0,GBP,1
32276,Qumin.G.NB CT 1240 Quantum Mechanics: The Physics ,Qumin.G.NB CT 1240 Quantum Mechanics: The Physics of the Mic,02/26/2013,12/31/2099,0,0,GBP,1
32277,Qumin.G.NB CT 1257 Mysteries of Modern Physics,Qumin.G.NB CT 1257 Mysteries of Modern Physics,02/26/2013,12/31/2099,0,0,GBP,1
32278,Qumin.G.NB CT 1324 Introduction to Nanotechnology,Qumin.G.NB CT 1324 Introduction to Nanotechnology,02/26/2013,12/31/2099,0,0,GBP,1
32279,Qumin.G.NB CT 1406 Secrets Of Mental Math,Qumin.G.NB CT 1406 Secrets Of Mental Math,02/26/2013,12/31/2099,0,0,GBP,1
32280,Qumin.G.NB CT 153 Einstein's Relativity and the Qu,Qumin.G.NB CT 153 Einstein's Relativity and the Quantum Revo,02/26/2013,12/31/2099,0,0,GBP,1
32281,Qumin.G.NB CT 1626 Understanding The Mysteries Of ,Qumin.G.NB CT 1626 Understanding The Mysteries Of Human Beha,02/26/2013,12/31/2099,0,0,GBP,1
32282,Qumin.G.NB CT 1651 Optimizing Brain Fitness,Qumin.G.NB CT 1651 Optimizing Brain Fitness,02/26/2013,12/31/2099,0,0,GBP,1
32283,Qumin.G.NB CT 1682 The Spiritual Brain,Qumin.G.NB CT 1682 The Spiritual Brain,02/26/2013,12/31/2099,0,0,GBP,1
32284,Qumin.G.NB CT 1933 Practicing Mindfulness: An Intr,Qumin.G.NB CT 1933 Practicing Mindfulness: An Introduction t,02/26/2013,12/31/2099,0,0,GBP,1
32285,Qumin.G.NB CT 1950 Nutrition Made Clear,Qumin.G.NB CT 1950 Nutrition Made Clear,02/26/2013,12/31/2099,0,0,GBP,1
32286,Qumin.G.NB CT 1965 Scientific Secrets for a Powerf,Qumin.G.NB CT 1965 Scientific Secrets for a Powerful Memory,02/26/2013,12/31/2099,0,0,GBP,1
32287,Qumin.G.NB CT 2031 Art of Public Speaking,Qumin.G.NB CT 2031 Art of Public Speaking,02/26/2013,12/31/2099,0,0,GBP,1
32288,Qumin.G.NB CT 2133 Analysis and Critique: How to E,Qumin.G.NB CT 2133 Analysis and Critique: How to Engage and,02/26/2013,12/31/2099,0,0,GBP,1
32289,Qumin.G.NB CT 2154 Writing Creative Nonfiction,Qumin.G.NB CT 2154 Writing Creative Nonfiction,02/26/2013,12/31/2099,0,0,GBP,1
32290,Qumin.G.NB CT 2368 Building Great Sentences: Explo,Qumin.G.NB CT 2368 Building Great Sentences: Exploring the W,02/26/2013,12/31/2099,0,0,GBP,1
